,Year,Annual
0,1895,52.02552.0
1,1896,53.10833333333353.1
2,1897,52.76666666666752.8
3,1898,53.96666666666754.0
4,1899,52.69166666666752.7
5,1900,54.38333333333354.4
6,1901,52.252.2
7,1902,52.75833333333352.8
8,1903,52.55833333333352.6
9,1904,50.150.1
10,1905,52.18333333333352.2
11,1906,53.90833333333353.9
12,1907,51.13333333333351.1
13,1908,53.6553.7
14,1909,52.91666666666752.9
15,1910,52.79166666666752.8
16,1911,53.81666666666753.8
17,1912,52.35833333333352.4
18,1913,55.24166666666755.2
19,1914,52.6552.7
20,1915,53.26666666666753.3
21,1916,52.47552.5
22,1917,50.850.8
23,1918,53.07553.1
24,1919,54.03333333333354.0
25,1920,52.38333333333352.4
26,1921,55.52555.5
27,1922,53.61666666666753.6
28,1923,53.40833333333353.4
29,1924,51.60833333333351.6
30,1925,53.36666666666753.4
31,1926,51.27551.3
32,1927,53.1553.2
33,1928,52.8552.9
34,1929,53.48333333333353.5
35,1930,54.10833333333354.1
36,1931,55.46666666666755.5
37,1932,54.42554.4
38,1933,54.11666666666754.1
39,1934,52.72552.7
40,1935,52.752.7
41,1936,53.26666666666753.3
42,1937,53.72553.7
43,1938,54.53333333333354.5
44,1939,54.22554.2
45,1940,51.1551.2
46,1941,54.26666666666754.3
47,1942,53.8553.9
48,1943,53.33333333333353.3
49,1944,53.74166666666753.7
50,1945,53.67553.7
51,1946,54.65833333333354.7
52,1947,53.29166666666753.3
53,1948,53.38333333333353.4
54,1949,55.655.6
55,1950,53.06666666666753.1
56,1951,54.0554.1
57,1952,54.55833333333354.6
58,1953,55.60833333333355.6
59,1954,54.46666666666754.5
60,1955,54.07554.1
61,1956,53.453.4
62,1957,54.54166666666754.5
63,1958,52.13333333333352.1
64,1959,55.18333333333355.2
65,1960,53.10833333333353.1
66,1961,53.33333333333353.3
67,1962,52.24166666666752.2
68,1963,52.30833333333352.3
69,1964,53.653.6
70,1965,53.02553.0
71,1966,52.88333333333352.9
72,1967,52.05833333333352.1
73,1968,53.30833333333353.3
74,1969,53.0553.1
75,1970,53.36666666666753.4
76,1971,53.99166666666754.0
77,1972,52.86666666666752.9
78,1973,55.20833333333355.2
79,1974,54.08333333333354.1
80,1975,54.654.6
81,1976,53.13333333333353.1
82,1977,53.84166666666753.8
83,1978,52.06666666666752.1
84,1979,53.25833333333353.3
85,1980,53.6553.7
86,1981,53.27553.3
87,1982,53.40833333333353.4
88,1983,54.45833333333354.5
89,1984,53.85833333333353.9
90,1985,54.62554.6
91,1986,54.2554.3
92,1987,54.41666666666754.4
93,1988,53.43333333333353.4
94,1989,53.29166666666753.3
95,1990,56.38333333333356.4
96,1991,56.21666666666756.2
97,1992,53.30833333333353.3
98,1993,54.36666666666754.4
99,1994,54.2554.3
100,1995,54.46666666666754.5
101,1996,53.23333333333353.2
102,1997,54.05833333333354.1
103,1998,57.05833333333357.1
104,1999,55.87555.9
105,2000,54.02554.0
106,2001,55.42555.4
107,2002,56.3556.4
108,2003,53.8553.9
109,2004,55.04166666666755.0
110,2005,55.45833333333355.5
111,2006,56.94166666666756.9
112,2007,55.84166666666755.8
113,2008,55.77555.8
114,2009,54.70833333333354.7
115,2010,56.44166666666756.4
116,2011,56.79166666666756.8
117,2012,57.67557.7
118,2013,55.17555.2
119,2014,53.88333333333353.9
120,2015,55.94166666666755.9
121,2016,56.956.9
122,2017,56.59166666666756.6
123,2018,56.0556.1
124,2019,56.47556.5
125,2020,M
126,,Annual
