year,Atlantic County,Bergen County,Burlington County,Camden County,Cape May County,Cumberland County,Essex County,Gloucester County,Hudson County,Hunterdon County,Mercer County,Middlesex County,Monmouth County,Morris County,Ocean County,Passaic County,Salem County,Somerset County,Sussex County,Union County,Warren County
2000,90,104,22,11,15,32,58,101,14,538,83,116,191,461,92,30,41,152,140,19,149
2001,62,40,6,4,8,18,37,44,6,492,32,81,168,416,105,21,29,128,155,16,149
2002,74,127,20,12,7,17,84,55,9,412,32,134,167,398,126,35,21,128,262,33,195
2003,129,122,92,19,40,72,93,76,13,403,68,89,211,440,166,65,26,148,336,39,240
2004,156,86,132,43,46,62,86,111,10,326,112,66,242,339,220,78,22,146,219,61,135
2005,137,163,158,54,39,90,111,200,12,366,225,81,272,524,182,66,33,162,246,24,217
2006,98,118,109,5,20,71,59,101,4,273,150,53,285,292,149,46,9,134,270,25,159
2007,160,157,174,2,38,164,91,7,16,256,206,73,278,330,203,91,56,149,354,55,267
2008,123,174,278,2,36,98,122,100,17,379,234,54,259,404,149,156,44,153,353,67,257
2009,137,281,406,6,40,195,209,149,59,444,253,182,409,640,189,253,45,256,434,88,292
2010,124,166,246,9,27,97,146,112,40,323,158,134,336,479,249,177,30,204,399,67,188
2011,123,221,233,89,43,84,147,134,28,440,217,221,356,478,222,173,65,171,442,89,282
2012,97,183,260,88,41,88,121,138,26,207,141,158,337,401,204,172,53,251,335,76,196
2013,67,241,211,129,26,60,131,101,49,225,141,160,372,558,210,180,52,215,347,78,213
2014,101,212,196,113,12,60,114,124,44,89,143,220,439,408,232,190,19,144,258,59,108
2015,114,275,258,138,27,86,165,128,54,456,249,288,530,572,290,244,37,258,309,107,269
2016,93,279,280,123,19,98,158,119,50,210,262,303,492,539,274,204,32,216,260,95,243
2017,66,303,227,159,22,99,207,124,72,444,222,321,550,649,302,165,45,280,331,110,393
2018,75,232,186,157,31,81,167,109,26,335,165,154,506,472,290,149,58,225,246,92,244
