Atlantic County:,Acres,Deer Max Max SM,Deer minMin SM
Area 1,557,169194,161185
Totals:,557,169194,161185
Cumberland County:,Acres,Deer Max Max SM,Deer minMin SM
Area 1 Northwest,707,7669,7568
Area 2 East,345,115213,112208
Area 3 South,468,6488,5879
Totals:,1520,255107,245103
Hunterdon/Mercer County:,Acres,Deer Max Max SM,Deer minMin SM
Area 1 Northeast,691,9790,9689
Area 2 West ,207,1443,1443
Area 3 Southwest,761,120101,120101
Totals: ,1659,23189,23089
Monmouth County:,Acres,Deer Max Max SM,Deer minMin SM
Area 1 Northeast,757,9681,9278
Area 2 West,681,121114,121114
Area 3 South,1952,13344,13143
Totals:,3390,35066,34465
Passaic County:,Acres,Deer Max Max SM,Deer minMin SM
Area 1 Northwest,255,2768,2460
Area 2 East,278,921,512
Area 3 Southeast,407,4571,3657
Totals:,940,8155,6544
Somerset County:,Acres,Deer Max Max SM,Deer min Min SM
Area 1 West,1626,268105,24898
Area 2 East,1208,17894,15482
Totals:,2834,446101,40291
Warren County:,Acres,Deer Max Max SM,Deer minMin SM
Area 1 Northwest,150,70299,56239
Area 2 Northeast,175,153560,131479
Area 3 West,1055,336204,310184
Area 4 South,450,119169,103146
Totals:,1830,678237,600210
